Co Code,County,Dist Code,District,Position,White,%White,Black,%Black,Hispanic,%Hispanic,Asian,%Asian,American Indian,%American Indian,Hawaiian Native,%Hawaiian Native,Two or More Races,%Two or More Races,Total,Male,%Male,Female,%Female,%Non Binary
03,Bergen,0930,Closter Public School District,Administrators,5.0,83.3,0.0,0.0,0.0,0.0,1.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,66.7,2.0,33.3,<.1
03,Bergen,0930,Closter Public School District,Special Service,12.5,92.6,0.0,0.0,0.0,0.0,1.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,13.5,100.0,<.1
03,Bergen,0930,Closter Public School District,Teacher,85.0,91.4,0.0,0.0,2.0,2.2,6.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,93.0,13.0,14.0,80.0,86.0,<.1
03,Bergen,0930,Closter Public School District,Supervisors/Coordinators,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,<.1
03,Bergen,0990,Cresskill Public School District,Administrators,8.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,62.5,3.0,37.5,<.1
03,Bergen,0990,Cresskill Public School District,Special Service,33.6,88.4,0.0,0.0,1.4,3.7,3.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,38.0,11.2,29.5,26.8,70.5,<.1
03,Bergen,0990,Cresskill Public School District,Teacher,129.0,93.2,0.8,0.6,3.6,2.6,4.0,2.9,0.0,0.0,0.0,0.0,1.0,0.7,138.4,30.2,21.8,108.2,78.2,<.1
03,Bergen,0990,Cresskill Public School District,Supervisors/Coordinators,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,100.0,<.1
03,Bergen,1070,Demarest School District,Administrators,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,75.0,1.0,25.0,<.1
03,Bergen,1070,Demarest School District,Special Service,12.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.1,0.8,12.6,99.2,<.1
03,Bergen,1070,Demarest School District,Teacher,66.2,89.2,0.0,0.0,4.0,5.4,4.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,74.2,8.9,12.0,65.3,88.0,<.1
03,Bergen,1070,Demarest School District,Supervisors/Coordinators,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,100.0,<.1
03,Bergen,1130,Dumont Public School District,Administrators,10.7,84.3,1.0,7.9,1.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,9.0,70.9,3.7,29.1,<.1
03,Bergen,1130,Dumont Public School District,Special Service,27.3,93.2,1.0,3.4,0.0,0.0,1.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,29.3,2.0,6.8,27.3,93.2,<.1
03,Bergen,1130,Dumont Public School District,Teacher,195.0,93.8,1.0,0.5,10.0,4.8,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,46.0,22.1,162.0,77.9,<.1
03,Bergen,1130,Dumont Public School District,Supervisors/Coordinators,4.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,4.3,100.0,<.1
03,Bergen,1230,East Rutherford School District,Administrators,3.0,75.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,50.0,2.0,50.0,<.1
03,Bergen,1230,East Rutherford School District,Special Service,8.5,81.0,1.0,9.5,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2.0,19.0,8.5,81.0,<.1
